PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,RESULT_CODE,RESULT_DESC,Task_Complete_Date
T2018024096,CACF,Building Commercial - Foundation,CAF14R102,Hotel / Motel,1000860.75,132156.00,DONE,04-30-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,06-29-2018
T2018024115,CACN,Building Commercial - New,CAF30A203,Restaurant (Fast Food),199485.00,1500.00,DONE,04-30-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-22-2018
T2018024896,CACF,Building Commercial - Foundation,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",480168.40,71343.00,DONE,05-02-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,05-04-2018
T2018025774,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",18000.00,0.00,DONE,05-07-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,05-18-2018
T2018025936,CARN,Building Residential - New,CAA01R301,Single Family Residence,298227.75,2891.00,DONE,05-08-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,05-18-2018
T2018027334,CARN,Building Residential - New,CAA01R301,Single Family Residence,289333.94,2848.00,DONE,05-14-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,05-18-2018
T2018027503,CARN,Building Residential - New,CAA01R301,Single Family Residence,785254.90,8010.00,DONE,05-15-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,07-09-2018
T2018036559,CARN,Building Residential - New,CAA01R301,Single Family Residence,282777.75,2615.00,DONE,06-22-2018,NULL,PLBSUBDIV,[J]  Subdivision Review Of Bldg App,APPROVED,Approved,08-02-2018
T2018036562,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,118821.15,1425.00,DONE,06-22-2018,NULL,PLBSUBDIV,[J]  Subdivision Review Of Bldg App,APPROVED,Approved,08-02-2018
T2018039875,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",872071.20,13310.00,DONE,07-10-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-10-2018
T2018040095,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,07-11-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-12-2018
T2018042307,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),0.00,0.00,DONE,07-19-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-19-2018
T2018047083,CACN,Building Commercial - New,CAF30A203,Restaurant (Fast Food),0.00,0.00,DONE,08-08-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-08-2018
T2018047994,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",144495.00,0.00,DONE,08-13-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-13-2018
T2018048335,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,140000.00,0.00,DONE,08-14-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-15-2018
T2018048397,CACR,Building Commercial - Rehab,CAF06A204,"Bar Or Nightclub, Tavern And Bars",0.00,0.00,DONE,08-14-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-15-2018
T2018049665,CACR,Building Commercial - Rehab,CAF12M001,"Furniture Store, Dept/Retail Stores",175000.00,0.00,DONE,08-20-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-11-2018
T2018050903,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),0.00,0.00,DONE,08-24-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-24-2018
T2018055829,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",15000.00,0.00,DONE,08-30-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-04-2018
T2018057300,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),200000.00,0.00,DONE,09-07-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-07-2018
T2018057797,CACR,Building Commercial - Rehab,CAF06A204,"Bar Or Nightclub, Tavern And Bars",75000.00,0.00,DONE,09-11-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-11-2018
T2018058653,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",0.00,0.00,DONE,09-14-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-14-2018
T2018059319,CARN,Building Residential - New,CAA01R301,Single Family Residence,259352.40,2880.00,DONE,09-18-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-18-2018
T2018059552,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),100000.00,0.00,DONE,09-19-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-19-2018
T2018060487,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,09-24-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-24-2018
T2018061430,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,09-27-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-27-2018
T2018061598,CACR,Building Commercial - Rehab,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",17000.00,0.00,DONE,09-27-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-27-2018
T2018063420,CACN,Building Commercial - New,CAF19A203,Restaurant (Full Service),0.00,0.00,DONE,10-05-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,12-06-2018
T2018064331,CACR,Building Commercial - Rehab,CAF18B011,"Personal Care Svcs,  Fitness Studio",155000.00,0.00,DONE,10-10-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,10-10-2018
T2018066414,CACF,Building Commercial - Foundation,CAF03S002,Automobile Parking - Structure,0.00,0.00,DONE,10-19-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,11-29-2018
T2018068506,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),50000.00,0.00,DONE,10-30-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-16-2018
T2018069007,CARN,Building Residential - New,CAA01R301,Single Family Residence,180068.00,1840.00,DONE,10-31-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,11-20-2018
T2018072949,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",425000.00,0.00,DONE,11-19-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,12-17-2018
T2018074471,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,11-28-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-28-2018
T2018074656,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,11-28-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-28-2018
T2018074722,CACR,Building Commercial - Rehab,CAC01B009,"Business School, Educational Occ > 12Th",73000.00,0.00,DONE,11-29-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-29-2018
T2018074887,CACT,Building Commercial - Tenant Finish Out,CAF18B011,"Personal Care Svcs,  Fitness Studio",360625.00,0.00,DONE,11-29-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,11-29-2018
T2018074894,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",8001811.33,91851.00,DONE,11-29-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,12-17-2019
T2018075022,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",1.00,0.00,DONE,11-30-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-30-2018
T2018075383,CARN,Building Residential - New,CAA01R301,Single Family Residence,338318.58,3426.00,DONE,12-03-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,12-03-2018
T2018075387,CARN,Building Residential - New,CAA01R301,Single Family Residence,338318.58,3426.00,DONE,12-03-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,12-03-2018
T2018076280,CACR,Building Commercial - Rehab,CAL03A999,"Commercial Amusement (In), Other",10000.00,0.00,DONE,12-06-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,12-10-2018
T2018076958,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",2000.00,0.00,DONE,12-10-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,12-10-2018
T2018077541,CARN,Building Residential - New,CAA01R301,Single Family Residence,459653.25,4497.00,DONE,12-12-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,12-18-2018
T2018079428,CACR,Building Commercial - Rehab,CAC02B009,"College / University, Educational > 12Th",200000.00,0.00,DONE,12-21-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-14-2019
T2018079711,CACR,Building Commercial - Rehab,CAL05A201,"Country Club, Banquet Hall",15000.00,0.00,DONE,12-26-2018,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-02-2019
T2019000083,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),700000.00,0.00,DONE,01-02-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-02-2019
T2019001318,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",150000.00,0.00,DONE,01-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,02-06-2019
T2019001852,CACT,Building Commercial - Tenant Finish Out,CAL03A999,"Commercial Amusement (In), Other",0.00,0.00,DONE,01-10-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-10-2019
T2019004004,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,01-22-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-22-2019
T2019004441,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",111935.00,0.00,DONE,01-23-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,02-04-2019
T2019004451,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",45000.00,0.00,DONE,01-23-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-23-2019
T2019005006,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,01-25-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,01-25-2019
T2019006810,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,600000.00,0.00,DONE,02-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,11-07-2019
T2019007935,CACR,Building Commercial - Rehab,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",0.00,0.00,DONE,02-07-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,02-07-2019
T2019008115,CACN,Building Commercial - New,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",0.00,0.00,DONE,02-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,02-14-2019
T2019008799,CACA,Building Commercial - Addition,CAB10A305,"Religious Institution, Worship Space",1.00,0.00,DONE,02-12-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,03-18-2020
T2019012553,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",0.00,0.00,DONE,03-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-12-2019
T2019012912,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,0.00,0.00,DONE,03-05-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-05-2019
T2019013757,CACN,Building Commercial - New,CAZ04A001,Mobile Food Vendors,2000.00,0.00,DONE,03-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,04-02-2019
T2019014499,CARN,Building Residential - New,CAA02R302,Duplex,345106.80,3312.00,DONE,03-12-2019,NULL,PLBSUBDIV,[J]  Subdivision Review Of Bldg App,IGNORE,No sign-off needed on this project,09-12-2019
T2019014501,CARN,Building Residential - New,CAA01R301,Single Family Residence,345106.80,3312.00,DONE,03-12-2019,NULL,PLBSUBDIV,[J]  Subdivision Review Of Bldg App,IGNORE,No sign-off needed on this project,09-12-2019
T2019014839,CACT,Building Commercial - Tenant Finish Out,CAF19A203,Restaurant (Full Service),1.00,0.00,DONE,03-14-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-14-2019
T2019015095,CACT,Building Commercial - Tenant Finish Out,CAF19A203,Restaurant (Full Service),0.00,0.00,DONE,03-14-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-14-2019
T2019016509,CACN,Building Commercial - New,CAF03Z000,Automobile Parking - Surface Lot,0.00,0.00,DONE,03-21-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-22-2019
T2019019544,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",40000.00,0.00,DONE,04-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-05-2019
T2019019782,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",1.00,1.00,DONE,04-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,05-07-2019
T2019020344,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),4000000.00,0.00,DONE,04-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-28-2019
T2019020464,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),0.00,0.00,DONE,04-09-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-09-2019
T2019021149,CACR,Building Commercial - Rehab,CAD01B003,"Financial Institution, Banks",304110.00,0.00,DONE,04-11-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-11-2019
T2019021160,CARN,Building Residential - New,CAA01R301,Single Family Residence,122790.00,1140.00,DONE,04-11-2019,NULL,PLRVWUFORE,Review - Urban Forester,PLAPPROVED,Approve as Submitted,05-03-2019
T2019025088,CACN,Building Commercial - New,CAL15A199,Temporary Festival,1.00,0.00,DONE,04-30-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,04-30-2019
T2019025592,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),296000.00,0.00,DONE,05-02-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-30-2019
T2019029489,CACT,Building Commercial - Tenant Finish Out,CAF14R102,Hotel / Motel,0.00,0.00,DONE,05-20-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,05-20-2019
T2019031029,CACA,Building Commercial - Addition,CAF35A203,Microbrewery,0.00,0.00,DONE,05-29-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,05-29-2019
T2019031893,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",975000.00,0.00,DONE,05-31-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-18-2020
T2019031901,CACA,Building Commercial - Addition,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",1900000.00,0.00,DONE,05-31-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,03-23-2020
T2019032525,CACR,Building Commercial - Rehab,CAF06A204,"Bar Or Nightclub, Tavern And Bars",18932.00,0.00,DONE,06-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-04-2019
T2019034282,CACH,Building Commercial - Shell,CAF20M001,"Retail, Department / Retail Stores",0.00,0.00,DONE,06-11-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-07-2019
T2019035078,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),0.00,0.00,DONE,06-13-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-23-2019
T2019036028,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,17348.10,154.00,DONE,06-18-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,06-20-2019
T2019037171,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),296000.00,0.00,DONE,06-24-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-27-2019
T2019038255,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),120000.00,0.00,DONE,06-27-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,10-03-2019
T2019039093,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),600000.00,0.00,DONE,07-02-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-02-2019
T2019040342,CACN,Building Commercial - New,CAF24M003,"Automobile Convenience, Markets",1000000.00,0.00,DONE,07-09-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-15-2019
T2019041559,CACR,Building Commercial - Rehab,CAE07I002,Nursing Home,1100000.00,0.00,DONE,07-15-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-26-2019
T2019042041,CACN,Building Commercial - New,CAZ04A001,Mobile Food Vendors,20000.00,0.00,DONE,07-16-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,01-08-2020
T2019042864,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",0.00,0.00,DONE,07-19-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-12-2019
T2019043953,CARN,Building Residential - New,CAA01R301,Single Family Residence,366137.21,4133.00,DONE,07-24-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,07-25-2019
T2019044279,CARN,Building Residential - New,CAA01R301,Single Family Residence,366137.21,4133.00,DONE,07-25-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-08-2019
T2019044286,CARN,Building Residential - New,CAA01R301,Single Family Residence,386606.34,3950.00,DONE,07-25-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-08-2019
T2019045415,CACN,Building Commercial - New,CAJ06H000,"Water/Sewer Pump Statn,Hazardous (H1-H5)",16547.64,292.00,DONE,07-31-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,01-06-2020
T2019046056,CACR,Building Commercial - Rehab,CAF06A204,"Bar Or Nightclub, Tavern And Bars",0.00,0.00,DONE,08-01-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,08-01-2019
T2019046614,CACA,Building Commercial - Addition,CAB10A390,"Religious Institution, Fellowship Hall",0.00,0.00,DONE,08-05-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-05-2019
T2019046868,CACN,Building Commercial - New,CAF14R102,Hotel / Motel,0.00,0.00,DONE,08-06-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,02-05-2020
T2019046934,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",140500.00,0.00,DONE,08-06-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-12-2019
T2019047555,CACR,Building Commercial - Rehab,CAF33S001,Vehicular Rental / Leasing,0.00,0.00,DONE,08-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-08-2019
T2019047701,CARN,Building Residential - New,CAA01R301,Single Family Residence,189244.00,1712.00,DONE,08-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-27-2019
T2019047702,CACA,Building Commercial - Addition,CAF19A203,Restaurant (Full Service),5770.00,0.00,DONE,08-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-08-2019
T2019047704,CARN,Building Residential - New,CAA01R301,Single Family Residence,200173.96,1906.00,DONE,08-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-27-2019
T2019047721,CARN,Building Residential - New,CAA01R301,Single Family Residence,200173.96,1906.00,DONE,08-08-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-27-2019
T2019048409,CACR,Building Commercial - Rehab,CAF24M003,"Automobile Convenience, Markets",0.00,0.00,DONE,08-12-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,11-07-2019
T2019048531,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,265000.00,0.00,DONE,08-13-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-14-2019
T2019048783,CACA,Building Commercial - Addition,CAF24M003,"Automobile Convenience, Markets",0.00,0.00,DONE,08-14-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,03-19-2020
T2019049655,CACR,Building Commercial - Rehab,CAF14A201,"Hotel / Motel, Banquet Halls",0.00,0.00,DONE,08-19-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-19-2019
T2019049870,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),39591.11,481.00,DONE,08-19-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-26-2019
T2019050926,CACR,Building Commercial - Rehab,CAF26S001,"Automobile Sales, Used",1000000.00,0.00,DONE,08-23-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-23-2019
T2019051122,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),0.00,0.00,DONE,08-23-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-23-2019
T2019051520,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,0.00,0.00,DONE,08-27-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-27-2019
T2019051561,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,20000.00,0.00,DONE,08-27-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-27-2019
T2019052312,CACR,Building Commercial - Rehab,CAE07I002,Nursing Home,45600.00,0.00,DONE,08-29-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-29-2019
T2019052521,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),0.00,0.00,DONE,08-30-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,DENIED,Denied as Submitted,09-25-2019
T2019052794,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,47000.00,0.00,DONE,09-03-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-03-2019
T2019052925,CARN,Building Residential - New,CAA01R301,Single Family Residence,141826.35,1259.00,DONE,09-03-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-06-2019
T2019053388,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",51003.00,900.00,DONE,09-04-2019,NULL,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-06-2019
