PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued
T2018002546,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,1/17/2018,NULL
T2018002716,CACT,Building Commercial - Tenant Finish Out,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",0,0,DONE,1/18/2018,NULL
T2018002719,CACT,Building Commercial - Tenant Finish Out,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",0,0,DONE,1/18/2018,NULL
T2018002720,CACT,Building Commercial - Tenant Finish Out,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",1,0,DONE,1/18/2018,NULL
T2018002777,CARN,Building Residential - New,CAA01R301,Single Family Residence,362395.05,3217,DONE,1/18/2018,NULL
T2018002782,CACH,Building Commercial - Shell,CAF14R102,Hotel / Motel,5187468.77,45494,DONE,1/18/2018,NULL
T2018002824,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000,0,DONE,1/18/2018,NULL
T2018002924,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,121098.75,1075,DONE,1/18/2018,NULL
T2018002939,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,71408,1600,DONE,1/18/2018,NULL
T2018003118,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,50000,0,DONE,1/19/2018,NULL
T2018003132,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,1/19/2018,NULL
T2018003212,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,10000,0,DONE,1/19/2018,NULL
T2018003321,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",0,0,DONE,1/22/2018,NULL
T2018003348,CACR,Building Commercial - Rehab,CAF04S001,"Automobile Repair, Storage Mod Hazard",2000,0,DONE,1/22/2018,NULL
T2018003406,CACR,Building Commercial - Rehab,CAL03A999,"Commercial Amusement (In), Other",20000,0,DONE,1/22/2018,NULL
T2018003462,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",175491.68,1418,DONE,1/22/2018,NULL
T2018003498,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,2000,0,DONE,1/22/2018,NULL
T2018003594,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",0,0,DONE,1/23/2018,NULL
T2018003713,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,137846.5,770,DONE,1/23/2018,NULL
T2018003836,CACH,Building Commercial - Shell,CAF14R102,Hotel / Motel,1,0,DONE,1/23/2018,NULL
T2018003952,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,1/23/2018,NULL
T2018004033,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",2859.52,256,DONE,1/24/2018,NULL
T2018004045,CACR,Building Commercial - Rehab,CAB10A305,"Religious Institution, Worship Space",0,0,DONE,1/24/2018,NULL
T2018004051,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,1/24/2018,NULL
T2018004122,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",0,0,DONE,1/24/2018,NULL
T2018004139,CARN,Building Residential - New,CAA01R301,Single Family Residence,292460,3200,DONE,1/24/2018,NULL
T2018004174,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,15000,0,DONE,1/24/2018,NULL
T2018004175,CACR,Building Commercial - Rehab,CAF18B004,"Personal Care Svcs, Barber/Beauty Shops",700,0,DONE,1/24/2018,NULL
T2018004221,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",0,0,DONE,1/24/2018,NULL
T2018004248,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,1/24/2018,NULL
T2018004584,CARN,Building Residential - New,CAA01R301,Single Family Residence,629908.42,6698,DONE,1/26/2018,NULL
T2018004586,CACT,Building Commercial - Tenant Finish Out,CAF06A204,"Bar Or Nightclub, Tavern And Bars",4000,0,DONE,1/26/2018,NULL
T2018004588,CARN,Building Residential - New,CAA01R301,Single Family Residence,620248.99,6455,DONE,1/26/2018,NULL
T2018004606,CARR,Building Residential - Rehab,CAA03R201,"Multifamily, Condominium 1&2 Unit Bldg",0,0,DONE,1/26/2018,NULL
T2018004759,CARN,Building Residential - New,CAA01R301,Single Family Residence,770335.05,7581,DONE,1/26/2018,NULL
T2018004794,CARR,Building Residential - Rehab,CAA03R301,"Multifamily, Townhome",375000,0,DONE,1/27/2018,NULL
T2018004881,CACN,Building Commercial - New,CAH10S002,"Warehouse, Storage S-2",0,0,DONE,1/29/2018,NULL
T2018004915,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",30437.66,682,DONE,1/29/2018,NULL
T2018005048,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/29/2018,NULL
T2018005059,CACK,Building Commercial - Roofing / Siding,CAF05M004,Automotive Service,0,0,DONE,1/29/2018,NULL
T2018005183,CARN,Building Residential - New,CAA01R301,Single Family Residence,267774.9,2672,DONE,1/30/2018,NULL
T2018005213,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0,0,DONE,1/30/2018,NULL
T2018005223,CARN,Building Residential - New,CAA10R301,Accessory Apartment,32000,0,DONE,1/30/2018,NULL
T2018005226,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/30/2018,NULL
T2018005233,CARN,Building Residential - New,CAA01R301,Single Family Residence,201875,1875,DONE,1/30/2018,NULL
T2018005236,CARN,Building Residential - New,CAA01R301,Single Family Residence,201875,1875,DONE,1/30/2018,NULL
T2018005302,CARN,Building Residential - New,CAA14U004,"Accessory Structure, Carport",11340,400,DONE,1/30/2018,NULL
T2018005401,CACN,Building Commercial - New,CAF14R102,Hotel / Motel,0,0,DONE,1/31/2018,NULL
T2018005407,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",14281.6,320,DONE,1/31/2018,NULL
T2018005408,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,1/31/2018,NULL
T2018005417,CARN,Building Residential - New,CAA01R301,Single Family Residence,426654.55,4035,DONE,1/31/2018,NULL
T2018005452,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",31241,700,DONE,1/31/2018,NULL
T2018005462,CARN,Building Residential - New,CAA01R301,Single Family Residence,426541.9,4034,DONE,1/31/2018,NULL
T2018005472,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,1/31/2018,NULL
T2018005553,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,129872.51,0,DONE,1/31/2018,NULL
T2018005584,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,1/31/2018,NULL
T2018005628,CACH,Building Commercial - Shell,CAH10S001,"Warehouse, Storage S-1",75937.5,2025,DONE,1/31/2018,NULL
T2018005633,CACH,Building Commercial - Shell,CAH10S001,"Warehouse, Storage S-1",75937.5,2025,DONE,1/31/2018,NULL
T2018005750,CACH,Building Commercial - Shell,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",5546469.75,64239,DONE,2/1/2018,NULL
T2018005751,CACJ,Building Commercial - Fire Damage,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",0,0,DONE,2/1/2018,NULL
T2018005790,CACR,Building Commercial - Rehab,CAD03B000,"Leasing / Sales Office, Other",150000,0,DONE,2/1/2018,NULL
T2018005818,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,2/1/2018,NULL
T2018005826,CARN,Building Residential - New,CAA01R301,Single Family Residence,71838,1000,DONE,2/1/2018,NULL
T2018005943,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/1/2018,NULL
T2018006048,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,109422,1350,DONE,2/2/2018,NULL
T2018006056,CACK,Building Commercial - Roofing / Siding,CAL10Z000,Park,0,0,DONE,2/2/2018,NULL
T2018006244,CACR,Building Commercial - Rehab,CAF18B004,"Personal Care Svcs, Barber/Beauty Shops",0,0,DONE,2/2/2018,NULL
T2018006395,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",0,0,DONE,2/5/2018,NULL
T2018006499,CACN,Building Commercial - New,CAF03Z000,Automobile Parking - Surface Lot,0,0,DONE,2/5/2018,NULL
T2018006551,CARP,Building Residential - Change Contractor,CAA01R301,Single Family Residence,7000,0,DONE,2/5/2018,NULL
T2018006558,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),500000,0,DONE,2/5/2018,NULL
T2018006560,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",1000,0,DONE,2/5/2018,NULL
T2018006700,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",0,0,DONE,2/6/2018,NULL
T2018006734,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",0,0,DONE,2/6/2018,NULL
T2018006780,CACR,Building Commercial - Rehab,CAB02A316,"Cultural Center, Museum",8000,0,DONE,2/6/2018,NULL
T2018006842,CACR,Building Commercial - Rehab,CAB10A390,"Religious Institution, Fellowship Hall",0,0,DONE,2/6/2018,NULL
T2018006848,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,2/6/2018,NULL
T2018007073,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/7/2018,NULL
T2018007092,CACK,Building Commercial - Roofing / Siding,CAB10A305,"Religious Institution, Worship Space",0,0,DONE,2/7/2018,NULL
T2018007265,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/8/2018,NULL
T2018007278,CACR,Building Commercial - Rehab,CAF12M001,"Furniture Store, Dept/Retail Stores",0,0,DONE,2/8/2018,NULL
T2018007280,CARN,Building Residential - New,CAA14U004,"Accessory Structure, Carport",30000,0,DONE,2/8/2018,NULL
T2018007284,CACR,Building Commercial - Rehab,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",27000,0,DONE,2/8/2018,NULL
T2018007309,CARN,Building Residential - New,CAA01R301,Single Family Residence,129547.5,1150,DONE,2/8/2018,NULL
T2018007366,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,2/8/2018,NULL
T2018007451,CARN,Building Residential - New,CAA01R301,Single Family Residence,248531.25,2487,DONE,2/8/2018,NULL
T2018007528,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,22079.4,196,DONE,2/8/2018,NULL
T2018007663,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",58000,0,DONE,2/9/2018,NULL
T2018007685,CACA,Building Commercial - Addition,CAE04B016,"Medical Office, Professional Services",0,0,DONE,2/9/2018,NULL
T2018007702,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,39041.85,381,DONE,2/9/2018,NULL
T2018007703,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",17005.2,440,DONE,2/9/2018,NULL
T2018007782,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",0,0,DONE,2/9/2018,NULL
T2018008014,CACK,Building Commercial - Roofing / Siding,CAF20M001,"Retail, Department / Retail Stores",0,0,DONE,2/12/2018,NULL
T2018008016,CACK,Building Commercial - Roofing / Siding,CAF20M001,"Retail, Department / Retail Stores",1,0,DONE,2/12/2018,NULL
T2018008048,CARN,Building Residential - New,CAA01R301,Single Family Residence,186827,1900,DONE,2/12/2018,NULL
T2018008058,CARN,Building Residential - New,CAA01R301,Single Family Residence,186827,1900,DONE,2/12/2018,NULL
T2018008143,CACN,Building Commercial - New,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",0,0,DONE,2/12/2018,NULL
T2018008180,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,2/13/2018,NULL
T2018008217,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,120000,0,DONE,2/13/2018,NULL
T2018008268,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",0,0,DONE,2/13/2018,NULL
T2018008305,CACN,Building Commercial - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",0,0,DONE,2/13/2018,NULL
T2018008320,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,96428.4,856,DONE,2/13/2018,NULL
T2018008481,CACR,Building Commercial - Rehab,CAB02A316,"Cultural Center, Museum",910000,0,DONE,2/14/2018,NULL
T2018008565,CARN,Building Residential - New,CAA01R301,Single Family Residence,309787.5,2750,DONE,2/14/2018,NULL
T2018008737,CARJ,Building Residential - Fire Damage,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",0,0,DONE,2/14/2018,NULL
T2018008738,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),0,0,DONE,2/14/2018,NULL
T2018008811,CARN,Building Residential - New,CAA04R301,Mobile Home Dwelling,0,0,DONE,2/15/2018,NULL
T2018008989,CARN,Building Residential - New,CAA01R301,Single Family Residence,156634.15,1639,DONE,2/15/2018,NULL
T2018009058,CACT,Building Commercial - Tenant Finish Out,CAF30A203,Restaurant (Fast Food),24000,0,DONE,2/16/2018,NULL
T2018009186,CACR,Building Commercial - Rehab,CAD02B006,"General Office, Civic Administration",0,0,DONE,2/16/2018,NULL
T2018009215,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/16/2018,NULL
T2018009218,CACN,Building Commercial - New,CAH10S001,"Warehouse, Storage S-1",371280,3000,DONE,2/16/2018,NULL
T2018009465,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/20/2018,NULL
T2018009467,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/20/2018,NULL
T2018009492,CACR,Building Commercial - Rehab,CAF18B009,"Personal Care Svcs,  Tanning Salon",200000,0,DONE,2/20/2018,NULL
T2018009565,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,2/20/2018,NULL
T2018009604,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),0,0,DONE,2/20/2018,NULL
T2018009630,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,2/20/2018,NULL
T2018009645,CACR,Building Commercial - Rehab,CAF26S001,"Automobile Sales, Used",1500,0,DONE,2/20/2018,NULL
T2018009724,CACR,Building Commercial - Rehab,CAB02A302,"Cultural Center, Art Galleries",0,0,DONE,2/21/2018,NULL
T2018009727,CACN,Building Commercial - New,CAB02A316,"Cultural Center, Museum",389000,0,DONE,2/21/2018,NULL
T2018009728,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",0,0,DONE,2/21/2018,NULL
T2018009765,CACN,Building Commercial - New,CAB02A316,"Cultural Center, Museum",0,0,DONE,2/21/2018,NULL
T2018009768,CACN,Building Commercial - New,CAB02A316,"Cultural Center, Museum",389000,0,DONE,2/21/2018,NULL
T2018009915,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",21000,0,DONE,2/21/2018,NULL
T2018010023,CARN,Building Residential - New,CAA01R301,Single Family Residence,210140.4,1956,DONE,2/22/2018,NULL
T2018010034,CARN,Building Residential - New,CAA01R301,Single Family Residence,210140.4,1956,DONE,2/22/2018,NULL
T2018010036,CARN,Building Residential - New,CAA01R301,Single Family Residence,210140.4,1956,DONE,2/22/2018,NULL
T2018010038,CARN,Building Residential - New,CAA01R301,Single Family Residence,210140.4,1956,DONE,2/22/2018,NULL
T2018010042,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",0,0,DONE,2/22/2018,NULL
T2018010126,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,2/22/2018,NULL
T2018010132,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",30000,0,DONE,2/22/2018,NULL
T2018010200,CARR,Building Residential - Rehab,CAA14U009,"Accessory Structure, Garage",40000,0,DONE,2/22/2018,NULL
T2018010214,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,45060,400,DONE,2/22/2018,NULL
T2018010260,CACK,Building Commercial - Roofing / Siding,CAF20M001,"Retail, Department / Retail Stores",0,0,DONE,2/23/2018,NULL
T2018010273,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",373403,3620,DONE,2/23/2018,NULL
T2018010294,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",0,0,DONE,2/23/2018,NULL
T2018010298,CARA,Building Residential - Addition,CAA14U009,"Accessory Structure, Garage",0,0,DONE,2/23/2018,NULL
T2018010299,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,2/23/2018,NULL
T2018010316,CACH,Building Commercial - Shell,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",0,0,DONE,2/23/2018,NULL
T2018010345,CACR,Building Commercial - Rehab,CAB10A305,"Religious Institution, Worship Space",0,0,DONE,2/23/2018,NULL
T2018010473,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",50000,0,DONE,2/26/2018,NULL
T2018010554,CARN,Building Residential - New,CAA01R301,Single Family Residence,316997.1,2814,DONE,2/26/2018,NULL
T2018010591,CARN,Building Residential - New,CAA01R301,Single Family Residence,218878.95,1943,DONE,2/26/2018,NULL
T2018010593,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",64267.2,1440,DONE,2/26/2018,NULL
T2018010595,CARN,Building Residential - New,CAA01R301,Single Family Residence,227360.55,2323,DONE,2/26/2018,NULL
T2018010600,CARN,Building Residential - New,CAA01R301,Single Family Residence,227360.55,2323,DONE,2/26/2018,NULL
T2018010610,CARN,Building Residential - New,CAA01R301,Single Family Residence,227360.55,2323,DONE,2/26/2018,NULL
T2018010647,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",2000,0,DONE,2/26/2018,NULL
T2018010671,CARR,Building Residential - Rehab,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",0,0,DONE,2/26/2018,NULL
T2018010751,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",0,0,DONE,2/26/2018,NULL
T2018010756,CACN,Building Commercial - New,CAB03I402,Day Care Center (Up To 75) - Child Care,0,0,DONE,2/26/2018,NULL
T2018010828,CARN,Building Residential - New,CAA01R301,Single Family Residence,278604.24,2792,DONE,2/27/2018,NULL
T2018010974,CACH,Building Commercial - Shell,CAF20M001,"Retail, Department / Retail Stores",312990,3000,DONE,2/27/2018,NULL
T2018011012,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",2000,0,DONE,2/27/2018,NULL
T2018011015,CACN,Building Commercial - New,CAZ04A001,Mobile Food Vendors,0,0,DONE,2/27/2018,NULL
T2018011295,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,2/28/2018,NULL
T2018011299,CACN,Building Commercial - New,CAD02B006,"General Office, Civic Administration",0,0,DONE,2/28/2018,NULL
T2018011407,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,0,0,DONE,3/1/2018,NULL
T2018011409,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,439335,3900,DONE,3/1/2018,NULL
T2018011411,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",40802.4,720,DONE,3/1/2018,NULL
T2018011412,CACR,Building Commercial - Rehab,CAB04I402,Day Care Center (Over 75) - Child,85000,0,DONE,3/1/2018,NULL
T2018011413,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,10000,0,DONE,3/1/2018,NULL
T2018011427,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),150000,0,DONE,3/1/2018,NULL
T2018011441,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,3/1/2018,NULL
T2018011442,CACN,Building Commercial - New,CAF03Z000,Automobile Parking - Surface Lot,2000,0,DONE,3/1/2018,NULL
T2018011514,CARN,Building Residential - New,CAA01R301,Single Family Residence,0,0,DONE,3/1/2018,NULL
T2018011537,CARN,Building Residential - New,CAA01R301,Single Family Residence,185083.95,1643,DONE,3/1/2018,NULL
T2018011562,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",6858.24,384,DONE,3/1/2018,NULL
T2018011609,CARN,Building Residential - New,CAA14U004,"Accessory Structure, Carport",22315,500,DONE,3/1/2018,NULL
T2018011669,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,0,0,DONE,3/2/2018,NULL
T2018011776,CARN,Building Residential - New,CAA01R301,Single Family Residence,221460,0,DONE,3/2/2018,NULL
T2018011807,CACN,Building Commercial - New,CAB10A390,"Religious Institution, Fellowship Hall",0,0,DONE,3/2/2018,NULL
T2018011834,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",5145.6,384,DONE,3/2/2018,NULL
T2018011870,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0,0,DONE,3/2/2018,NULL
T2018011943,CARN,Building Residential - New,CAA01R301,Single Family Residence,145839.6,1512,DONE,3/5/2018,NULL
T2018011972,CACR,Building Commercial - Rehab,CAF05M004,Automotive Service,2000,0,DONE,3/5/2018,NULL
T2018012088,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,5000.8,280,DONE,3/5/2018,NULL
T2018012107,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",0,0,DONE,3/5/2018,NULL
T2018012295,CARR,Building Residential - Rehab,CAA11R301,Detached Accessory Dwelling Unit,0,0,DONE,3/6/2018,NULL
T2018012297,CARR,Building Residential - Rehab,CAA11R301,Detached Accessory Dwelling Unit,0,0,DONE,3/6/2018,NULL
T2018012333,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),0,0,DONE,3/6/2018,NULL
T2018012351,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,25700,0,DONE,3/6/2018,NULL
T2018012509,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",0,0,DONE,3/6/2018,NULL
T2018012541,CARN,Building Residential - New,CAA01R301,Single Family Residence,247830,2200,DONE,3/6/2018,NULL
T2018012583,CARN,Building Residential - New,CAA01R301,Single Family Residence,128871.6,1144,DONE,3/7/2018,NULL
T2018012622,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",0,0,DONE,3/7/2018,NULL
T2018012627,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",0,0,DONE,3/7/2018,NULL
T2018012668,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",0,0,DONE,3/7/2018,NULL
T2018012800,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,0,0,DONE,3/7/2018,NULL
