PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,Temp U&O Complete Date,Final U&O Complete Date
2018073101,CACR,Building Commercial - Rehab,CAF18B011,"Personal Care Svcs,  Fitness Studio",DONE,11/20/2018,1/4/2019,CABUO,U&O Letter,4/12/2019,5/10/2019
2018073854,CACR,Building Commercial - Rehab,CAF20M002,"Retail, Drug Stores",DONE,11/26/2018,1/4/2019,CABUO,U&O Letter,,6/9/2020
2018074047,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/27/2018,1/4/2019,CABUO,U&O Letter,,3/24/2020
2018077287,CACR,Building Commercial - Rehab,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,12/12/2018,1/4/2019,CABUO,U&O Letter,,8/15/2019
2018078495,CACA,Building Commercial - Addition,CAE04B016,"Medical Office, Professional Services",DONE,12/18/2018,1/4/2019,CABUO,U&O Letter,,3/21/2019
2018079072,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/19/2018,1/4/2019,CABUO,U&O Letter,,12/31/2019
2018080087,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/28/2018,1/4/2019,CABUO,U&O Letter,,7/30/2019
2018080134,CACR,Building Commercial - Rehab,CAF18B004,"Personal Care Svcs, Barber/Beauty Shops",DONE,12/28/2018,1/4/2019,CABUO,U&O Letter,,3/26/2019
2019000266,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,1/3/2019,1/4/2019,CABUO,U&O Letter,,3/19/2019
2019000657,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/4/2019,1/4/2019,CABUO,U&O Letter,,7/11/2019
2019000671,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,1/4/2019,1/4/2019,CABUO,U&O Letter,,2/10/2020
2019000701,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,1/4/2019,1/4/2019,CABUO,U&O Letter,,10/11/2019
2018000394,CARR,Building Residential - Rehab,CAA14U009,"Accessory Structure, Garage",DONE,1/3/2018,1/5/2018,CABUO,U&O Letter,,7/3/2018
2018000490,CACR,Building Commercial - Rehab,CAF05M004,Automotive Service,DONE,1/4/2018,1/5/2018,CABUO,U&O Letter,7/11/2018,8/8/2018
2018000940,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/5/2018,CABUO,U&O Letter,,5/1/2018
2018000942,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/5/2018,CABUO,U&O Letter,,5/2/2018
2018000989,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/5/2018,CABUO,U&O Letter,,1/17/2019
2018000993,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/5/2018,CABUO,U&O Letter,,1/17/2019
2020059067,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,9/21/2020,1/5/2021,CABUO,U&O Letter,,6/24/2021
2020071943,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,11/17/2020,1/5/2021,CABUO,U&O Letter,,4/15/2021
2020072223,CACT,Building Commercial - Tenant Finish Out,CAE04B016,"Medical Office, Professional Services",DONE,11/18/2020,1/5/2021,CABUO,U&O Letter,,5/20/2021
2020076875,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",DONE,12/9/2020,1/5/2021,CABUO,U&O Letter,,1/27/2021
2020077349,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,12/11/2020,1/5/2021,CABUO,U&O Letter,,5/10/2021
2019054335,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",DONE,9/9/2019,1/6/2020,CABUO,U&O Letter,,10/2/2020
2019067991,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),DONE,11/5/2019,1/6/2020,CABUO,U&O Letter,10/23/2020,11/19/2020
2019068500,CACT,Building Commercial - Tenant Finish Out,CAF19A203,Restaurant (Full Service),DONE,11/7/2019,1/6/2020,CABUO,U&O Letter,,5/4/2020
2019071472,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/20/2019,1/6/2020,CABUO,U&O Letter,,4/5/2021
2019071478,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/20/2019,1/6/2020,CABUO,U&O Letter,5/25/2021,6/14/2021
2019075287,CACF,Building Commercial - Foundation,CAL04A504,"Comm. Amusement (Out), Stadiums",DONE,12/10/2019,1/6/2020,CABUO,U&O Letter,,6/11/2020
2019075685,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,12/11/2019,1/6/2020,CABUO,U&O Letter,,4/28/2020
2019077606,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/19/2019,1/6/2020,CABUO,U&O Letter,,10/20/2020
2019077611,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/19/2019,1/6/2020,CABUO,U&O Letter,,10/7/2020
2019078639,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/27/2019,1/6/2020,CABUO,U&O Letter,,11/9/2020
2019078933,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,DONE,12/30/2019,1/6/2020,CABUO,U&O Letter,,5/12/2020
2020000201,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,9/17/2020
2020000207,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,10/1/2020
2020000224,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,9/9/2020
2020000235,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,9/9/2020
2020000315,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,9/1/2020
2020000318,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,1/2/2020,1/6/2020,CABUO,U&O Letter,,9/1/2020
2020000567,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,1/6/2020,1/6/2020,CABUO,U&O Letter,,2/4/2020
2020000720,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/6/2020,1/6/2020,CABUO,U&O Letter,,8/24/2020
2020000725,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/6/2020,1/6/2020,CABUO,U&O Letter,,7/16/2020
2020077618,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,12/12/2020,1/6/2021,CABUO,U&O Letter,,4/26/2021
2020078265,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",DONE,12/15/2020,1/6/2021,CABUO,U&O Letter,,5/24/2021
2018026497,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),DONE,5/9/2018,1/7/2019,CABUO,U&O Letter,,7/23/2019
2018060354,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",DONE,9/21/2018,1/7/2019,CABUO,U&O Letter,,3/8/2019
2018069415,CACR,Building Commercial - Rehab,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/2/2018,1/7/2019,CABUO,U&O Letter,,11/26/2019
2018076611,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/7/2018,1/7/2019,CABUO,U&O Letter,,3/31/2020
2018076613,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/7/2018,1/7/2019,CABUO,U&O Letter,4/28/2020,5/12/2020
2018078748,CACJ,Building Commercial - Fire Damage,CAA03R301,"Multifamily, Townhome",DONE,12/18/2018,1/7/2019,CABUO,U&O Letter,,2/12/2020
2018079096,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,DONE,12/19/2018,1/7/2019,CABUO,U&O Letter,,10/17/2019
2018079271,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,12/20/2018,1/7/2019,CABUO,U&O Letter,,6/18/2019
2018079277,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,12/20/2018,1/7/2019,CABUO,U&O Letter,,6/18/2019
2018079279,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,12/20/2018,1/7/2019,CABUO,U&O Letter,,6/18/2019
2018079282,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,12/20/2018,1/7/2019,CABUO,U&O Letter,,6/18/2019
2018079312,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/20/2018,1/7/2019,CABUO,U&O Letter,,6/9/2020
2019062522,CACN,Building Commercial - New,CAJ04B011,"Safety Services, Fire & Police Station",DONE,10/14/2019,1/7/2020,CABUO,U&O Letter,5/5/2021,5/26/2021
2019064782,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",DONE,10/23/2019,1/7/2020,CABUO,U&O Letter,7/21/2020,10/5/2020
2019067080,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,11/1/2019,1/7/2020,CABUO,U&O Letter,,5/20/2020
2019071664,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/21/2019,1/7/2020,CABUO,U&O Letter,,7/14/2020
2019071680,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/21/2019,1/7/2020,CABUO,U&O Letter,,7/16/2020
2019071735,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/21/2019,1/7/2020,CABUO,U&O Letter,,7/14/2020
2019071747,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/21/2019,1/7/2020,CABUO,U&O Letter,,7/16/2020
2019074014,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/4/2019,1/7/2020,CABUO,U&O Letter,,8/5/2020
2019076537,CACR,Building Commercial - Rehab,CAA03R299,"Multifamily, Condominium > 5 Unit Bldg",DONE,12/16/2019,1/7/2020,CABUO,U&O Letter,,7/27/2020
2019077028,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/17/2019,1/7/2020,CABUO,U&O Letter,,1/19/2021
2019077046,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",DONE,12/17/2019,1/7/2020,CABUO,U&O Letter,,1/19/2021
2019079394,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,12/31/2019,1/7/2020,CABUO,U&O Letter,,8/25/2020
2020000079,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/7/2020,CABUO,U&O Letter,,4/29/2020
2020000082,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/7/2020,CABUO,U&O Letter,,4/29/2020
2020000119,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/2/2020,1/7/2020,CABUO,U&O Letter,4/26/2021,4/29/2021
2020000371,CARN,Building Residential - New,CAA01R301,Single Family Residence,ISSUE,1/3/2020,1/7/2020,CABUO,U&O Letter,12/22/2020,
2020000698,CACN,Building Commercial - New,CAA03R301,"Multifamily, Townhome",DONE,1/6/2020,1/7/2020,CABUO,U&O Letter,,1/13/2021
2020000703,CACN,Building Commercial - New,CAA03R301,"Multifamily, Townhome",DONE,1/6/2020,1/7/2020,CABUO,U&O Letter,,1/13/2021
2020000709,CACN,Building Commercial - New,CAA03R301,"Multifamily, Townhome",DONE,1/6/2020,1/7/2020,CABUO,U&O Letter,,1/13/2021
2020000715,CACN,Building Commercial - New,CAA03R301,"Multifamily, Townhome",DONE,1/6/2020,1/7/2020,CABUO,U&O Letter,,1/13/2021
2020000912,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,11/23/2020
2020001021,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,9/9/2020
2020001028,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,9/9/2020
2020001031,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,9/22/2020
2020001036,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,9/9/2020
2020001197,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",DONE,1/7/2020,1/7/2020,CABUO,U&O Letter,,1/30/2020
2020077604,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,DONE,12/11/2020,1/7/2021,CABUO,U&O Letter,,6/16/2021
2018000677,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,DONE,1/4/2018,1/8/2018,CABUO,U&O Letter,,5/16/2019
2018000837,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,1/10/2020
2018000838,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000842,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000843,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000846,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000847,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000851,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018000855,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,7/22/2019
2018001041,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/5/2018,1/8/2018,CABUO,U&O Letter,,8/9/2018
2018001115,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,8/21/2018
2018001122,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,7/6/2018
2018001139,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/3/2019
2018001148,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/8/2019
2018001152,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/8/2019
2018001166,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/6/2019
2018001170,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/6/2019
2018001174,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/6/2019
2018001182,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/3/2019
2018001185,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/6/2019
2018001188,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",DONE,1/8/2018,1/8/2018,CABUO,U&O Letter,,5/6/2019
2018065767,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",DONE,10/17/2018,1/8/2019,CABUO,U&O Letter,,5/21/2019
2018070844,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/8/2018,1/8/2019,CABUO,U&O Letter,,9/3/2019
2018071152,CARN,Building Residential - New,CAA01R301,Single Family Residence,DONE,11/9/2018,1/8/2019,CABUO,U&O Letter,,6/9/2020
2018074236,CACT,Building Commercial - Tenant Finish Out,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,1/29/2020,6/2/2020
2018074238,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,1/30/2020,6/2/2020
2018074242,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,1/29/2020,6/2/2020
2018074244,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,1/29/2020,6/2/2020
2018074247,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,1/30/2020,6/2/2020
2018074249,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,2/12/2020,6/2/2020
2018074250,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,2/12/2020,6/2/2020
2018074251,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,2/12/2020,6/2/2020
2018074252,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,3/2/2020,6/2/2020
2018074254,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/27/2018,1/8/2019,CABUO,U&O Letter,3/2/2020,6/2/2020
2018074391,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/2/2020,6/2/2020
2018074398,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/2/2020,6/2/2020
2018074399,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/2/2020,6/2/2020
2018074401,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/2/2020,6/2/2020
2018074403,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/2/2020,6/2/2020
2018074407,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,2/11/2020,6/2/2020
2018074422,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/20/2020,6/2/2020
2018074425,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/20/2020,6/2/2020
2018074429,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/20/2020,6/2/2020
2018074431,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/28/2018,1/8/2019,CABUO,U&O Letter,4/20/2020,6/2/2020
2018074741,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",DONE,11/29/2018,1/8/2019,CABUO,U&O Letter,5/2/2019,5/21/2019
2018075080,CACT,Building Commercial - Tenant Finish Out,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",DONE,11/30/2018,1/8/2019,CABUO,U&O Letter,4/20/2020,6/2/2020
